ID,numgames,totalwinnings,name,year,occ,loc,studentflag
2303,2,0,Peter Gay,1993,graphic designer,"Stoughton, Massachusetts",
4726,1,2773,Reynard Regenstreif-Harms,2008,student,"Missoula, Montana",
4721,1,200,Justin Scupine,1999,associate director,"Los Angeles, California",
2304,1,0,Steven McKenna,1993,director of banquets,"Holyoke, Massachusetts",
4723,4,31200,Jason Dizon,2008,attorney,"Woodside, New York",
2306,1,0,Maggie Walker,1991,public relations consultant,"Los Angeles, California",
5847,1,0,Jennifer Pasche,2002,homemaker,"McHenry, Illinois",
5846,3,36600,Ayesha Black,2002,student,"Los Angeles, California",
5845,1,6800,Andrew Woolsey,2002,production assistant,"Los Angeles, California",
5844,2,25600,James Pethokoukis,2002,journalist,"Chicago, Illinois",
5843,1,8800,Amanda Waterman,2002,software engineer,"Raleigh, North Carolina",
5842,2,23204,Todd Hellman,2002,attorney,"Lakeland, Florida",
5841,2,30400,Richard Wiggs,2009,architect,"Memphis, Tennessee",
5840,1,12000,Sarah Smee,2009,medical editor,"Beltsville, Maryland",
5849,1,200,Laura Dickinson,2002,associate professor,"Laurel, Maryland",
5848,1,1199,Thom Morrissey,2002,account manager,"Tustin, California",
3748,1,1200,Anthony DiMarco,2000,government representative,"Tallahassee, Florida",
3749,1,1999,Nicole Stouder,2000,systems developer,"Sunnyside, New York",
3746,1,3799,Lenore Garon,2007,lawyer,"Falls Church, Virginia",
3747,1,700,Beth White,2000,communications director,"Dunbar, West Virginia",
3744,1,6201,Sharon O'Quinn,2000,retail manager,"Ogunquit, Maine",
3745,1,17000,Jamil Muhammad,2007,marriage educator,"Cincinnati, Ohio",
3742,1,800,Bill Wilson,2007,business manager,"Clifton Park, New York",
3743,1,300,Carol Gerber,2007,legal technology manager,"Red Bank, New Jersey",
3740,1,7100,Rebecca Fisher,2000,librarian,"Ardencroft, Delaware",
3741,2,22800,Ken Boulton,2000,high school teacher,"Imperial Beach, California",
4620,1,2799,Eugene Hung,2008,software engineer,"San Jose, California",
4621,1,9799,Andrew Sprouse,2008,historic preservationist,"Durham, North Carolina",
4622,2,38000,Arianna Kelly,2008,law student,"Somerville, Massachusetts",
4623,1,22000,Brandon Jones,2008,culinary student,"Chicago, Illinois",
4624,2,12002,Stephen Fineman,2008,science teacher,"Morristown, New Jersey",
4625,1,6000,Chris Dixon,2008,sales associate,"Fort Lauderdale, Florida",
4626,3,56400,Jennah Durant,2008,public affairs specialist,"Dallas, Texas",
4627,1,8999,Lisa Fritsche,2008,Sunday school director,"Columbia, Missouri",
4628,3,21900,Dave Hampton,1999,student,"Cambridge, Massachusetts",
4629,1,500,Laura Bowen,1999,upper-school history teacher,"Wilmington, North Carolina",
179,1,14400,Paul Boyer,2004,bartender,"Schenectady, New York",
178,8,104008,Pat Healy,1998,index editor,"Concord, California",
177,1,5400,Stephen McNamara,1998,system manager,"New York City, New York",
176,1,2800,Kathleen Hennessey,1998,pollution control board member,"Western Springs, Illinois",
175,1,1,Catherine Ewen,2004,recent law school graduate,"Berkeley, California",
174,3,24600,Bill Unterborn,1998,visual merchandiser,"Palmyra, New York",
173,1,7700,Eric Swanson,1998,data coordinator,"Washington, D.C",
172,1,4395,Cathy Shambaugh,1998,sixth grade teacher,"Berea, Ohio",
171,2,12000,"Zeke Sevilla, Jr.",111990,lawyer,"Vienna, Virginia",
170,3,10500,Keith Walker,1987,attorney,"Pomona, California",
7218,2,30802,Lindsey Thiesfeld,2011,sophomore,"Clarendon Hills, Illinois",TRUE
7219,2,54000,Idrees Kahloon,2011,junior,"Lexington, Kentucky",TRUE
7210,2,28800,Kate Wadman,2011,junior,"Tucson, Arizona",TRUE
7211,1,1,Christian Ie,2011,senior,"Renton, Washington",TRUE
7212,4,92400,Kailyn LaPorte,2011,sophomore,"Decatur, Georgia",TRUE
7213,1,6600,Steven Ho,2011,junior,"Pittsburgh, Pennsylvania",TRUE
7214,1,6000,Raphie Cantor,2011,sophomore,"San Diego, California",TRUE
7215,1,6000,Andrew Van Duyn,2011,junior,"Wheaton, Illinois",TRUE
7216,4,90120,Raya Elias-Pushett,2011,junior,"Aventura, Florida",TRUE
7217,2,65602,Nikhil Desai,2011,junior,"Fremont, California",TRUE
6213,1,0,Henok Kebede,2009,musician,"Wheaton, Maryland",
6212,1,1900,Clare O'Keeffe,2009,editorial assistant,"Hyannisport, Massachusetts",
6211,4,81604,Alyssa McRae,2009,gift card production designer,"Philadelphia, Pennsylvania",
6210,1,7199,John Hashop,2009,actor,"Astoria, New York",
6819,9,244809,Buddy Wright,2010,operations engineer,"Fort Worth, Texas",
6818,1,26400,Alexandra Helprin,2010,art history graduate student,"New York, New York",
6811,3,16797,Randall Johnson,2010,enologist,"Seattle, Washington",
6813,1,-2200,Brett Garner,2010,office manager,"Bountiful, Utah",
6812,1,0,Gabe Hernandez,2010,content coordinator,"North Hollywood, California",
6814,1,12799,Megan Kardine,2010,pre-med student,"Glen Mills, Pennsylvania",
6817,5,61000,Marvin Shinkman,1986,stamp dealer,"Van Nuys, California",
6816,1,11000,Robert Wargo,1986,student,"Fairfield, Connecticut",
8848,1,15500,Lee May,2014,merchandising manager,"Rowanoke, Virginia",
8849,1,16799,Ilissa Gold,2014,attorney,"Nashville, Tennessee",
8840,1,7800,Rachel Samberg,2014,academic tutor and performer,"New York, New York",
8841,3,31800,Sarah Olson,2014,project coordinator,"El Cerrito, California",
8842,2,28802,Mary Manhardt,2014,documentary film editor,"New York, New York",
8843,1,12500,Eric Brach,2014,teacher and author,"Culver City, California",
8844,2,24000,Andrew Nelson,2014,antiquarian bookseller,"New Bedford, Massachusetts",
8845,1,6400,Carolyn Gawlik,2014,workforce development manager,"Dearborn, Michigan",
8846,1,9901,Julia Dye,2014,vice president of production,"North Hills, California",
7669,1,801,Emily Kelly,2012,university librarian,"Somerville, Massachusetts",
7668,1,4998,Bruce Vale,2012,business news writer,"Newark, Delaware",
7661,3,82800,Kirby Burnett,2012,poker dealer,"Prior Lake, Minnesota",
7660,1,2,Molly Newman,2012,writer and trivia hostess,"Portland, Oregon",
7663,1,0,Sean O'Connor,2012,attorney,"St. Louis, Missouri",
7662,1,800,Elizabeth Edwards,2012,graduate student in museum studies,"Hendersonville, Tennessee",
7665,2,56000,Taylor Cope,2012,financial analyst,"Chicago, Illinois",
7664,1,18799,Christen Lee,2012,social enterprise lawyer,"Richmond, California",
7667,1,8600,Rhonda Hammons,2012,former video store owner,"Winnsboro, Louisiana",
7666,3,79203,Brendan Graham,2012,soldier and a physician,"San Antonio, Texas",
1768,1,0,Maura O'Keefe,2003,legal assistant,"West Roxbury, Massachusetts",
1116,1,0,Susan Daniels,2005,software engineer,"Bristol, Rhode Island",
1762,1,100,Sharon Doodian,1998,lawyer,"Albany, New York",
1760,1,900,Piper Huguley,1998,graduate teaching assistant,"Pittsburgh, Pennsylvania",
1761,3,25200,Sinan Turnacioglu,1998,medical student,"East Brunswick, New Jersey",
1766,1,2400,Patty Leginus,1998,college professor,"Silver Spring, Maryland",
1767,6,56388,Phillip Steele,2002,security officer,"Los Angeles, California",
1764,1,0,Jessica Ginsburg,1998,executive assistant,"Stamford, Connecticut",
1765,2,13300,Mark Sheehan,1998,attorney,"Mansfield Center, Connecticut",
692,1,3000,Ben Camack,1984,film distribution consultant,"Dallas, Texas",
693,1,2480,Deborah Kelly,1984,college professor,"Chevy Chase, Maryland",
1544,1,15000,David Achar,1997,video buyer,"Teaneck, New Jersey",
1545,1,100,Susan Lee,1997,housewife,"Glencoe, Illinois",
1542,2,22400,Joanna Stromberg,2006,attorney,"Bethesda, Maryland",
1543,1,0,Dave Halliday,2006,travel marketer,"Williamsburg, Virginia",
1540,1,9000,Gerard Magliocca,1997,law student,"New Haven, Connecticut",
695,1,5,Karen Olson,1984,energy conservation manager,"Denver, Colorado",
699,1,3995,Leland Kennedy,1984,industrial sculptor,"La Mesa, California",
1548,1,13395,Ken Rosenau,1997,attorney,"Washington, D.C",
1549,2,38400,Jared Poppel,2006,consultant,"Bellevue, Washington",
8710,3,60000,Fidelito Cortes,2013,writer,"Port Jefferson Station, New York",
8711,1,1500,Elisabeth Houlik,2013,accountant,"Allentown, Pennsylvania",
8712,1,9155,Rich Hansen,2013,attorney,"Chicago, Illinois",
8713,1,500,A. C. Hawley,2013,graduate student in media studies,"Iowa City, Iowa",
8714,2,36002,Cori Wilhelm,2013,college librarian,"Parishville, New York",
8715,3,82803,Damian Henri,2013,architect,"Shaker Heights, Ohio",
8716,3,76797,Jason Idalski,2013,web producer,"Ypsilanti, Michigan",
8717,1,600,Erin Hoesly,2013,preschool teacher,"Fredericksburg, Virginia",
8718,2,14200,Mary Murrell,2013,anthropologist,"Madison, Wisconsin",
8719,1,9200,Kathy Johnson,2013,restaurant manager,"Minnetonka, Minnesota",
5618,1,1,Kari Caven,2003,retirement representative,"Post Falls, Idaho",
5619,1,6400,Charlotte Renshaw,2003,appraiser,"Milwaukee, Wisconsin",
